"name","id","tier","rarity","base value","range","damage/second","damage/shot","emp","impact","turn rate","OPs","ammo","ammo/sec","reload size","type","energy/shot","energy/second","chargeup","chargedown","burst size","burst delay","min spread","max spread","spread/shot","spread decay/sec","beam speed","proj speed","launch speed","flight time","proj hitpoints","autofireAccBonus","extraArcForAI","hints","tags","groupTag","tech/manufacturer","for weapon tooltip>>","primaryRoleStr","speedStr","trackingStr","turnRateStr","accuracyStr","customPrimary","customPrimaryHL","customAncillary","customAncillaryHL","noDPSInTooltip","number"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bastion-Cracker Torpedo Tube","nskr_bc_tube",1,,1250,1200,,2500,,30,6,8,6,,,"HIGH_EXPLOSIVE",0,,0,10,1,,0,0,0,0,,450,40,"4.5",400,,,"STRIKE","strike14, rocket7, kesteven",,"Kesteven",,"Torpedo","Fast","None",,,"When hitting hull or armor deals %s of the targets maximum hitpoints as bonus damage. Against modular stations and ships the module or parent hull with the most hitpoints counts for the bonus damage.","10%",,,"TRUE",369
"Bastion-Cracker Torpedo","nskr_bc_single",1,,225,1200,,2500,,30,10,1,1,,,"HIGH_EXPLOSIVE",0,,0,4,1,,0,0,0,0,,450,40,"4.5",400,,,"STRIKE","strike9, rocket2, kesteven",,"Kesteven",,"Torpedo","Fast","None",,,"When hitting hull or armor deals %s of the targets maximum hitpoints as bonus damage. Against modular stations and ships the module or parent hull with the most hitpoints counts for the bonus damage.","10%",,,"TRUE",369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Collector Heavy Auto Blaster","nskr_collector",3,,36200,700,,400,,40,6,28,8,"0.75",2,"ENERGY",440,,,"0.25",,,0,5,1,1,,700,,,150,,,,"restricted, enigma, prot_wp, energy19",,"Unknown Prototype",,"Kill",,,,,"Executes any target below %s maximum hitpoints, on armor or hull hit.","15%",,,,420
"Giga Pulse Cannon","nskr_plasmal",3,,39000,1000,,2000,,150,4,32,40,,,"ENERGY",2000,,"0.5","8.901",2,"0.5",4,10,5,1,,700,,,500,,,"STRIKE, USE_VS_FRIGATES","restricted, enigma, prot_wp, energy16, strike18",,"Unknown Prototype",,"Destruction",,,,,"Projectiles deal damage to all nearby targets on impact.",,,,,420
"Plasma Burst Canister Cannon","nskr_pbcc",3,,34200,1200,,2000,800,100,5,28,,,,"ENERGY",2400,,0,"5",1,,0,8,2,1,,600,,,300,,,,"restricted, enigma, prot_wp, energy18, he10, kinetic14",,"Unknown Prototype",,"Destruction",,,,,"Splits into %s that deal %s and %s damage each.","4 submunitions | 500 energy | 200 EMP",,,,420
,"nskr_pbcc_sub",3,,,400,,500,200,10,0,,,,,"ENERGY",,,0,1,1,,0,0,0,0,,1400,,,25,,,"SYSTEM",,,"Unknown Prototype",,,,,,,,,,,,420
"Mega Shotgun","nskr_hshotgun",3,,30400,900,,1000,,50,6,26,,,,"HIGH_EXPLOSIVE",1000,,0,"2",1,,2,10,4,1,,750,,,300,,,,"restricted, enigma, prot_wp, he19",,"Unknown Prototype",,"Anti-Armor/Hull",,,,,"Spawns %s additional fragments on firing, each having 50%% the range and dealing 20%% the damage of the main weapon. %s of the damage caused by this weapon is dealt as %s damage instead.","5 | 50% | fragmentation",,,,420
,"nskr_hshotgun_sub",3,,,450,,100,,10,,,,,,"HIGH_EXPLOSIVE",,,,,,,,,,,,600,,,60,,,"SYSTEM",,,"Unknown Prototype",,,,,,,,,,,,420
